ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Barker Individual,20,0,4005.501732,ID,B01000,IDB01000,ID00020,{CF31052C-AD05-41EF-9334-4CB06B77BBC9},20990.66836,16209754.79,6,278713
Beal Individual,22,0,243.6228292,ID,B01000,IDB01000,ID00022,{E97F514F-E890-437A-BC37-2C2609F657C0},4593.638843,985910.5267,7,278714
Bean Individual,23,0,979.133357,ID,B01000,IDB01000,ID00023,{BE767314-875B-480C-A8F0-6E22E5F1992D},9566.407205,3962427.852,8,278715
Bezates Individual,27,0,7344.065252,ID,B01000,IDB01000,ID00027,{E5BF2388-544A-4403-80FE-9606C5D3B37D},32390.95585,29720495.68,9,278716
Stillwell Individual,28,0,2507.371652,ID,B01000,IDB01000,ID00028,{65BF8DC2-71F3-48AF-8F01-53E267CB37CB},16943.18237,10147013.38,10,278717
Fir Tree,29,0,3444.892046,ID,B01000,IDB01000,ID00029,{412C27B1-3519-4717-92F3-6EF0A37392B8},22164.77531,13941038.87,11,278718
Biggers,31,0,1058.087812,ID,B01000,IDB01000,ID00031,{7FB92F8E-D521-4ADD-B06D-E5B6B1D4F7D4},9714.486725,4281946.463,12,278719
Randall Mountain,32,0,7445.82173,ID,B01000,IDB01000,ID00032,{783F4CF5-F37E-4CFB-B45E-9AF8F68296D0},37738.21345,30132291.17,13,278720
Camp Creek,33,0,3417.601258,ID,B01000,IDB01000,ID00033,{1A43C0C3-AE21-4AF2-90E9-F9C106EB542D},28044.94644,13830596.53,14,278721
C-Line,35,0,1145.037846,ID,B01000,IDB01000,ID00035,{3DF5A6B0-9A98-4851-9B76-79EDD7B11557},12121.80942,4633822.165,15,278722
Brownlee,37,0,4116.464758,ID,B01000,IDB01000,ID00037,{07275701-3B66-4AAC-B3B8-CF86944EFDFA},22688.8406,16658808.01,16,278723
Ross Gulch,39,0,1565.81135,ID,B01000,IDB01000,ID00039,{F76F2B64-C8DE-4658-BA09-486E821ADCB1},15856.63276,6336638.888,17,278724
